athlete_number,athlete_relative_age,athlete_gender_marker,athlete_sport,club_division,active_minutes,contributing_seconds,total_distance_m,total_high_intensity_distance_m,total_sprint_distance_m,high_intensity_events,sprint_events,avg_speed_kph,max_speed_kph,acceleration_events,deceleration_events,max_acceleration,max_deceleration,metres_per_minute,percentage_max_speed_kph,session_load
1015,22,Female,association_football,DI,91,5460,7347.04,119.18,61.33,18,4,4.35,25.47,30,62,5.79,5.99,80.74,17.1,820.21
1015,22,Female,association_football,DI,118,7080,203.39,0.0,0.0,0,0,0.1,9.36,0,0,0.0,0.0,1.72,1.02,18.3
1015,22,Female,association_football,DI,61,3660,1827.5,0.0,0.0,0,0,2.5,16.84,23,12,4.88,5.91,29.96,14.82,164.47
1015,22,Female,association_football,DI,89,5340,6148.9,44.4,0.0,3,0,4.2,18.59,38,40,4.96,5.8,69.09,22.57,599.31
1016,19,Female,association_football,DI,94,5640,2311.74,32.76,10.6,4,2,2.01,21.82,26,20,4.26,5.82,24.59,9.22,254.17
1016,19,Female,association_football,DI,93,5580,1103.27,8.49,0.0,1,0,0.56,17.84,9,1,5.29,2.66,11.86,3.16,109.01
1016,19,Female,association_football,DI,85,5100,2991.94,13.78,0.0,1,0,2.01,22.54,33,30,5.95,5.38,35.2,8.92,283.83
1017,28,Female,association_football,DI,92,5520,7014.95,171.14,71.63,19,8,4.05,24.86,34,39,5.73,6.34,76.25,16.28,853.09
1017,28,Female,association_football,DI,110,6600,3321.51,55.72,0.0,9,0,1.69,18.53,9,17,4.94,8.53,30.2,9.12,367.64
1017,28,Female,association_football,DI,102,6120,8084.51,150.46,196.23,22,12,4.9,33.22,34,39,6.34,9.44,79.26,14.74,954.27
1017,28,Female,association_football,DI,121,7260,5053.56,23.02,25.93,3,1,2.68,27.72,45,44,4.28,8.07,41.76,9.67,484.94
1018,24,Female,association_football,DI,85,5100,9543.57,302.71,86.02,34,8,6.22,29.19,30,53,5.54,5.88,112.28,21.3,1230.18
1018,24,Female,association_football,DI,59,3540,1679.36,65.44,20.69,7,2,1.76,29.96,31,26,8.87,7.88,28.46,5.89,231.68
1018,24,Female,association_football,DI,93,5580,8161.34,164.08,81.9,23,7,5.9,28.25,42,52,5.31,6.24,87.76,20.89,953.47
1018,24,Female,association_football,DI,115,6900,5370.34,40.26,37.01,8,2,2.83,26.03,55,43,5.14,6.33,46.7,10.88,544.52
1019,19,Female,association_football,DI,122,7320,253.17,0.0,0.0,0,0,0.12,8.34,0,0,0.0,0.0,2.08,1.42,22.78
1019,19,Female,association_football,DI,91,5460,3853.59,0.0,0.0,0,0,2.01,19.08,14,10,4.89,4.28,42.35,10.53,346.82
1019,19,Female,association_football,DI,88,5280,3018.77,0.0,0.0,0,0,2.17,17.2,12,13,5.42,4.79,34.3,12.62,271.69
1019,19,Female,association_football,DI,119,7140,5220.01,162.82,1145.78,16,53,2.36,42.98,46,29,5.97,6.62,43.87,5.49,858.59
1019,19,Female,association_football,DI,112,6720,5594.13,24.22,0.0,3,0,2.89,20.64,35,45,6.54,5.77,49.95,13.99,531.42
1019,19,Female,association_football,DI,116,6960,6267.29,253.91,23.18,17,3,3.53,22.99,27,26,6.3,7.29,54.03,15.36,839.24
1020,27,Female,association_football,DI,110,6600,6581.87,201.98,39.99,19,6,2.85,22.63,20,21,6.03,6.65,59.84,12.61,834.66
1020,27,Female,association_football,DI,102,6120,2056.61,0.0,0.0,0,0,1.73,14.24,16,4,7.88,3.18,20.16,12.13,185.1
1020,27,Female,association_football,DI,118,7080,5282.6,10.94,0.0,2,0,2.56,23.94,30,20,5.44,9.73,44.77,10.69,488.81
1020,27,Female,association_football,DI,86,5160,2816.13,36.49,0.0,4,0,2.22,22.03,16,5,4.56,4.11,32.75,10.09,293.55
1020,27,Female,association_football,DI,109,6540,6020.29,139.31,25.43,19,2,2.96,21.32,59,48,5.66,8.81,55.23,13.9,713.15
1021,22,Female,association_football,DI,89,5340,8734.73,425.22,254.78,47,20,5.93,27.79,39,64,5.03,8.96,98.14,21.35,1344.15
1021,22,Female,association_football,DI,118,7080,6712.47,53.16,0.0,9,0,3.77,24.3,68,80,6.33,8.45,56.89,15.51,669.06
1021,22,Female,association_football,DI,58,3480,4282.02,577.08,0.0,63,0,3.91,23.43,43,11,5.32,5.35,73.83,16.68,1031.74
1021,22,Female,association_football,DI,66,3960,5181.69,116.81,22.12,12,3,4.85,23.61,15,21,4.06,5.4,78.51,20.57,608.49
1021,22,Female,association_football,DI,96,5760,4701.51,22.34,0.0,3,0,2.89,21.23,14,22,4.67,5.95,48.97,13.62,448.67
1022,25,Female,association_football,DI,112,6720,5040.98,183.43,113.59,26,10,2.94,27.48,27,49,5.39,7.04,45.01,10.68,710.85
1022,25,Female,association_football,DI,121,7260,5514.29,108.83,40.61,15,3,3.46,23.93,51,56,5.48,6.19,45.57,14.46,635.68
1022,25,Female,association_football,DI,89,5340,2369.33,11.04,0.0,1,0,1.29,22.81,11,9,4.34,4.32,26.62,5.66,224.8
1023,24,Female,association_football,DI,121,7260,5557.9,23.0,0.0,3,0,2.82,22.72,68,48,5.95,6.57,45.93,12.42,526.81
1023,24,Female,association_football,DI,104,6240,3100.31,39.92,8.5,4,2,1.77,22.31,14,21,4.66,5.65,29.81,7.91,330.16
1023,24,Female,association_football,DI,70,4200,2155.0,6.84,0.0,1,0,1.97,20.8,10,5,3.77,4.28,30.79,9.48,202.15
1023,24,Female,association_football,DI,103,6180,4337.06,6.51,0.0,1,0,2.53,18.58,24,20,5.75,5.04,42.11,13.6,398.14
1023,24,Female,association_football,DI,91,5460,4601.26,46.79,0.0,8,0,2.9,24.67,26,35,5.07,6.28,50.56,11.74,472.37
1024,22,Female,association_football,DI,66,3960,3470.75,0.0,0.0,0,0,2.76,19.53,10,17,4.55,5.79,52.59,14.13,312.37
1024,22,Female,association_football,DI,88,5280,1834.58,0.0,0.0,0,0,1.29,20.03,9,4,3.93,4.5,20.85,6.42,165.11
1024,22,Female,association_football,DI,77,4620,864.29,0.0,0.0,0,0,0.71,11.29,1,1,2.95,3.32,11.22,6.32,77.79
1024,22,Female,association_football,DI,89,5340,5108.38,106.14,0.0,6,0,3.32,20.93,30,27,5.26,4.57,57.4,15.88,566.44
1024,22,Female,association_football,DI,83,4980,4590.8,7.88,0.0,1,0,2.86,21.77,79,63,5.24,6.56,55.31,13.11,422.24
1025,25,Female,association_football,DI,94,5640,4795.87,39.32,0.0,4,0,3.09,24.11,30,40,4.27,5.86,51.02,12.8,474.34
1025,25,Female,association_football,DI,92,5520,4855.48,132.19,8.63,14,1,3.2,25.94,25,29,5.23,5.94,52.78,12.35,588.7
1025,25,Female,association_football,DI,63,3780,1484.46,0.0,0.0,0,0,1.76,17.88,3,1,3.65,3.21,23.56,9.83,133.6
1025,25,Female,association_football,DI,109,6540,2215.2,22.51,0.0,4,0,1.37,21.38,5,10,3.89,4.91,20.32,6.39,228.21
1025,25,Female,association_football,DI,123,7380,3008.23,65.11,54.37,9,2,1.96,27.25,19,15,8.06,5.39,24.46,7.2,356.04
1025,25,Female,association_football,DI,88,5280,4327.26,20.71,0.0,3,0,3.16,21.7,64,55,5.78,6.19,49.17,14.58,414.8
1026,18,Female,association_football,DI,85,5100,1200.52,9.07,0.0,1,0,0.86,18.1,5,1,4.71,3.7,14.12,4.74,118.24
1026,18,Female,association_football,DI,98,5880,3590.94,5.38,0.0,1,0,2.32,20.28,22,16,5.44,5.85,36.64,11.45,329.99
1026,18,Female,association_football,DI,81,4860,4337.54,76.74,28.44,9,2,3.95,21.65,26,36,4.85,4.64,53.55,18.23,484.58
1026,18,Female,association_football,DI,118,7080,4725.09,18.95,0.0,5,0,2.58,19.57,50,36,4.59,4.76,40.04,13.18,451.46
1027,24,Female,association_football,DI,58,3480,2316.45,0.0,0.0,0,0,1.91,14.2,25,12,5.12,5.93,39.94,13.42,208.48
1027,24,Female,association_football,DI,119,7140,564.43,0.0,0.0,0,0,0.24,5.33,0,0,0.0,0.0,4.74,4.57,50.8
1027,24,Female,association_football,DI,58,3480,2535.78,7.26,0.0,2,0,2.29,18.51,18,16,5.76,4.7,43.72,12.36,238.9
1027,24,Female,association_football,DI,94,5640,120.65,0.0,0.0,0,0,0.07,7.03,0,0,0.0,0.0,1.28,0.98,10.86
1027,24,Female,association_football,DI,63,3780,2523.85,7.58,0.0,2,0,2.37,21.19,10,11,4.24,4.23,40.06,11.18,237.91
1027,24,Female,association_football,DI,107,6420,570.74,0.0,0.0,0,0,0.27,12.28,0,0,0.0,0.0,5.33,2.19,51.37
1028,16,Female,association_football,DI,126,7560,4516.91,63.06,0.0,9,0,2.31,19.68,21,18,5.01,7.81,35.85,11.72,481.93
1028,16,Female,association_football,DI,83,4980,3842.9,58.4,48.69,8,4,2.33,25.98,26,15,5.03,5.07,46.3,8.96,430.68
1028,16,Female,association_football,DI,121,7260,6298.33,69.22,87.35,11,4,3.49,23.3,41,45,5.88,5.65,52.05,14.99,666.53
1028,16,Female,association_football,DI,116,6960,455.02,0.0,0.0,0,0,0.23,8.15,0,0,0.0,0.0,3.92,2.86,40.95
1028,16,Female,association_football,DI,90,5400,5286.96,152.86,93.79,21,6,2.81,30.58,32,49,6.62,6.66,58.74,9.18,680.05
1029,21,Female,association_football,DI,86,5160,2601.33,15.19,0.0,3,0,2.39,20.21,23,20,4.8,6.01,30.25,11.83,254.16
1029,21,Female,association_football,DI,106,6360,4474.01,69.81,5.43,8,1,2.59,21.14,33,31,5.42,6.26,42.21,12.23,486.05
1029,21,Female,association_football,DI,91,5460,4510.09,4.74,0.0,1,0,3.08,17.55,57,28,9.75,4.72,49.56,17.57,411.79
1029,21,Female,association_football,DI,86,5160,5458.48,11.39,0.0,3,0,3.0,19.1,38,41,5.23,6.37,63.47,15.73,507.69
1029,21,Female,association_football,DI,100,6000,3358.31,124.47,65.32,15,5,2.62,22.39,23,31,5.07,5.43,33.58,11.69,464.14
1030,22,Female,association_football,DI,119,7140,444.78,0.0,0.0,0,0,0.22,7.89,0,0,0.0,0.0,3.74,2.79,40.03
1030,22,Female,association_football,DI,113,6780,3083.87,81.79,22.41,8,4,1.88,25.07,10,7,5.73,4.54,27.29,7.48,383.05
1030,22,Female,association_football,DI,59,3540,1311.08,12.89,906.26,2,22,1.45,37.67,2,0,4.71,0.0,22.22,3.86,222.15
1030,22,Female,association_football,DI,94,5640,6247.07,9.08,0.0,2,0,3.7,20.6,37,35,4.25,4.62,66.46,17.99,574.12
1031,22,Female,association_football,DI,90,5400,2232.33,14.89,0.0,1,0,1.4,21.79,10,4,4.17,4.57,24.8,6.41,216.13
1031,22,Female,association_football,DI,58,3480,2031.62,9.74,0.0,2,0,1.8,23.55,22,13,5.97,5.25,35.03,7.65,195.49
1031,22,Female,association_football,DI,78,4680,3214.35,25.95,18.42,3,2,2.71,26.63,13,22,5.15,5.41,41.21,10.18,327.33
1031,22,Female,association_football,DI,74,4440,2535.08,32.64,0.0,5,0,3.0,25.01,51,72,5.43,9.46,34.26,12.0,267.84
1031,22,Female,association_football,DI,123,7380,1859.68,11.74,0.0,2,0,0.88,19.67,21,21,4.63,4.94,15.12,4.46,182.05
1031,22,Female,association_football,DI,107,6420,5318.69,99.91,30.2,16,3,2.49,25.05,22,47,3.68,5.26,49.71,9.96,612.78
1032,20,Female,association_football,DI,84,5040,8920.34,57.37,0.0,10,0,5.58,23.27,36,49,5.77,7.39,106.19,23.99,873.58
1032,20,Female,association_football,DI,60,3600,2536.46,17.3,0.0,3,0,2.83,21.37,39,23,5.27,4.23,42.27,13.26,250.21
1032,20,Female,association_football,DI,121,7260,6736.09,37.11,40.51,5,3,4.13,24.28,79,46,8.49,7.25,55.67,16.99,663.16
1032,20,Female,association_football,DI,110,6600,352.86,5.0,0.0,1,0,0.22,23.6,1,1,3.51,4.89,3.21,0.95,38.27
1032,20,Female,association_football,DI,92,5520,3048.54,20.71,0.0,4,0,1.83,20.39,14,33,5.42,5.62,33.14,8.96,300.91
1032,20,Female,association_football,DI,124,7440,5104.93,77.47,8.04,4,1,2.6,21.83,17,30,4.96,5.49,41.17,11.91,540.84
1033,21,Female,association_football,DI,125,7500,4381.13,93.99,4.77,10,1,2.13,22.89,44,24,5.75,6.53,35.05,9.3,502.56
1033,21,Female,association_football,DI,118,7080,2499.23,19.69,10.04,4,2,1.28,20.18,4,6,5.13,6.2,21.18,6.32,258.29
1033,21,Female,association_football,DI,98,5880,5724.16,136.22,0.0,15,0,4.01,22.07,44,43,5.03,4.99,58.41,18.15,668.73
1033,21,Female,association_football,DI,62,3720,2581.95,0.0,0.0,0,0,2.73,19.83,32,18,4.42,6.27,41.64,13.78,232.38
1034,20,Female,association_football,DI,131,7860,6687.33,297.24,79.61,32,10,3.53,23.94,53,49,9.99,5.27,51.05,14.74,972.76
1034,20,Female,association_football,DI,76,4560,2868.43,42.38,0.0,5,0,2.66,25.39,19,16,5.16,5.71,37.74,10.48,305.42
1034,20,Female,association_football,DI,76,4560,788.88,0.0,0.0,0,0,0.61,11.36,2,0,3.44,0.0,10.38,5.39,71.0
1034,20,Female,association_football,DI,117,7020,5751.03,16.99,0.0,2,0,2.66,19.54,25,19,4.76,5.63,49.15,13.64,537.06
1034,20,Female,association_football,DI,110,6600,5065.73,106.65,32.59,10,2,2.26,26.63,17,32,5.47,5.57,46.05,8.5,580.6
1035,19,Female,association_football,DI,122,7320,2384.63,0.0,0.0,0,0,1.22,16.74,11,5,5.92,3.1,19.55,7.26,214.62
1035,19,Female,association_football,DI,114,6840,4850.28,25.91,0.0,5,0,2.24,17.9,38,29,5.52,6.35,42.55,12.51,469.03
1035,19,Female,association_football,DI,113,6780,5543.29,193.04,1302.29,17,48,2.91,35.77,48,22,6.0,6.03,49.06,8.12,899.1
1035,19,Female,association_football,DI,94,5640,4819.83,156.22,78.91,13,4,3.17,27.35,19,23,5.8,7.04,51.27,11.59,617.43
1036,26,Female,association_football,DI,111,6660,3324.09,32.94,8.41,3,1,2.1,25.16,19,25,5.7,6.32,29.95,8.35,339.4
1036,26,Female,association_football,DI,89,5340,200.63,0.0,0.0,0,0,0.12,6.46,0,0,0.0,0.0,2.25,1.89,18.06
1036,26,Female,association_football,DI,77,4620,2959.53,23.32,0.0,4,0,2.41,22.58,40,25,7.87,4.24,38.44,10.68,295.68
1037,22,Female,association_football,DI,121,7260,436.57,0.0,0.0,0,0,0.25,9.21,0,0,0.0,0.0,3.61,2.7,39.29
1037,22,Female,association_football,DI,118,7080,317.36,0.0,0.0,0,0,0.15,7.02,0,0,0.0,0.0,2.69,2.17,28.56
1037,22,Female,association_football,DI,85,5100,4643.21,13.1,0.0,2,0,3.18,22.86,28,21,6.15,5.05,54.63,13.89,433.49
1037,22,Female,association_football,DI,104,6240,5344.03,9.42,0.0,1,0,3.22,22.09,33,39,5.42,5.83,51.38,14.56,491.09
1037,22,Female,association_football,DI,100,6000,3458.2,101.42,40.98,13,6,2.08,25.01,14,34,5.76,6.06,34.58,8.34,452.07
1038,18,Female,association_football,DI,62,3720,2055.34,18.33,0.0,2,0,2.09,20.23,18,15,4.58,7.04,33.15,10.35,205.19
1038,18,Female,association_football,DI,94,5640,3003.56,0.0,0.0,0,0,2.58,19.59,36,36,5.79,6.56,31.95,13.15,270.32
1038,18,Female,association_football,DI,90,5400,6253.54,101.12,67.48,16,7,4.72,26.04,33,38,5.65,8.58,69.48,18.13,714.31
1038,18,Female,association_football,DI,121,7260,4368.95,31.98,0.0,4,0,2.21,20.23,25,16,6.5,5.63,36.11,10.93,429.46
1038,18,Female,association_football,DI,89,5340,3775.24,71.88,0.0,8,0,2.33,22.16,18,15,4.67,5.5,42.42,10.52,420.89
1038,18,Female,association_football,DI,69,4140,2379.1,0.0,0.0,0,0,2.05,19.48,37,10,4.73,6.17,34.48,10.53,214.12
1039,23,Female,association_football,DI,87,5220,2290.52,9.76,0.0,1,0,1.49,20.95,11,6,5.44,4.6,26.33,7.09,216.96
1039,23,Female,association_football,DI,88,5280,3964.24,48.61,0.0,4,0,3.23,19.83,40,27,5.2,5.41,45.05,16.26,409.26
1039,23,Female,association_football,DI,62,3720,132.51,0.0,0.0,0,0,0.15,14.17,0,0,0.0,0.0,2.14,1.08,11.93
1039,23,Female,association_football,DI,149,8940,7241.1,159.89,51.11,16,4,2.94,25.33,38,46,5.16,6.31,48.6,11.61,842.99
1039,23,Female,association_football,DI,60,3600,1589.39,9.58,4.78,2,1,1.39,23.63,19,13,6.49,6.63,26.49,5.88,159.9
1040,22,Female,association_football,DI,94,5640,3598.72,39.78,41.02,5,3,2.89,22.58,28,28,5.77,5.38,38.28,12.79,381.38
1040,22,Female,association_football,DI,94,5640,6348.64,98.19,47.21,12,6,4.05,25.27,32,41,5.55,7.26,67.54,16.01,705.39
1040,22,Female,association_football,DI,123,7380,8285.33,54.86,0.0,7,0,4.19,20.71,32,44,5.17,6.23,67.36,20.23,808.59
1040,22,Female,association_football,DI,86,5160,3268.59,0.0,0.0,0,0,2.12,19.51,36,36,5.59,6.02,38.01,10.87,294.17
1040,22,Female,association_football,DI,85,5100,2908.09,0.0,0.0,0,0,2.19,17.4,13,14,4.64,4.57,34.21,12.61,261.73
1041,20,Female,association_football,DI,94,5640,1272.89,4.68,0.0,1,0,0.77,20.81,6,7,4.12,5.64,13.54,3.71,120.9
1041,20,Female,association_football,DI,105,6300,8999.02,770.58,112.25,63,6,5.78,26.65,52,31,4.93,7.38,85.7,21.67,1653.18
1041,20,Female,association_football,DI,104,6240,3347.25,5.0,0.0,1,0,1.76,21.03,33,21,6.67,7.07,32.19,8.37,307.74
1041,20,Female,association_football,DI,85,5100,2017.69,11.92,0.0,1,0,1.13,20.44,16,3,5.12,4.19,23.74,5.52,194.46
1041,20,Female,association_football,DI,85,5100,1800.93,76.52,31.66,10,2,1.13,23.54,14,18,4.27,8.16,21.19,4.78,258.53
1041,20,Female,association_football,DI,126,7560,288.07,0.0,0.0,0,0,0.12,11.3,0,1,0.0,3.43,2.29,1.05,25.93
1042,24,Female,association_football,DI,94,5640,2907.69,42.15,0.0,4,0,2.03,23.75,21,26,5.15,5.83,30.93,8.56,306.69
1042,24,Female,association_football,DI,94,5640,1701.54,80.34,28.63,10,2,1.22,24.26,13,18,4.43,6.94,18.1,5.01,253.75
